Frequencies	Intensities
17.2203	0.0206223
28.036	0.124498
30.5636	0.10572
36.6355	0.035183
42.3959	0.0260117
44.4215	0.00382138
50.312	0.0980381
52.3081	0.0338126
58.7239	0.0690483
62.0021	0.0445783
71.0761	0.028713
72.7073	0.0317438
76.3585	0.160155
78.2048	0.039347
84.9382	0.143947
92.7064	0.178485
101.321	0.0228756
106.43	0.227807
112.93	0.0746223
119.337	0.0274876
121.184	0.504922
123.776	0.0337994
130.032	0.0218741
134.148	0.321562
138.586	0.413091
139.869	0.0495461
146.835	0.12459
152.837	0.0315593
158.16	0.0103572
167.472	0.279988
168.822	0.0587833
176.975	0.724164
183.819	0.62494
188.242	0.342567
189.563	0.470754
197.008	0.0829371
197.381	0.427902
200.515	0.328388
207.36	0.121375
210.549	0.249536
212.575	1.27551
217.932	1.4008
225.589	0.517401
226.832	0.0669268
231.185	0.593368
232.643	0.187537
236.501	0.643138
239.333	0.536205
240.594	1.79505
247.616	0.38584
248.561	0.590034
250.623	0.252185
252.987	0.561742
257.473	0.470082
263.709	0.0906589
268.361	0.91663
270.891	0.0251157
273.12	1.53341
276.217	0.311982
282.339	0.25142
285.456	0.256625
286.74	0.311745
289.529	0.152789
292.68	0.673089
296.892	0.981145
299.728	0.382546
302.771	0.133366
308.342	1.04472
312.817	0.125829
313.439	0.00137042
317.064	0.447246
321.279	0.134618
327.666	0.804057
330.935	0.318452
338.487	0.0807628
340.143	0.257442
343.921	0.114602
345.674	0.33777
347.037	0.297593
350.345	0.258852
356.356	0.33947
360.39	0.269183
371.616	0.0108053
373.749	0.793067
381.725	0.196946
382.646	0.00923719
384.147	0.25204
386.093	0.112994
394.976	0.301111
402.094	0.207514
407.802	0.0576764
411.108	0.339931
418.871	0.20024
421.517	0.302956
429.686	0.313485
431.79	0.627417
457.843	4.52813
461.421	1.63477
475.348	2.58445
482.192	1.62409
486.437	1.47346
488.768	2.93144
490.348	0.514687
496.333	2.33452
516.799	3.24329
519.389	2.51278
525.28	11.3467
525.54	15.9717
530.915	23.6419
545.469	3.88954
547.596	1.1107
549.374	3.99845
556.624	5.37838
568.534	1.77537
570.486	2.03317
589.434	0.866201
590.869	1.4784
597.338	0.164029
597.885	0.253647
616.579	0.664524
620.552	1.36239
627.649	0.115867
630.284	0.343502
638.865	4.34746
640.251	3.41374
650.723	0.0361186
658.93	0.244212
 725.9	2.33653
728.837	1.18084
732.595	11.2552
757.877	1.74148
763.067	2.9262
764.361	8.44576
771.911	2.69532
776.255	0.605978
781.176	1.30865
781.271	3.63388
793.426	1.1401
795.486	0.488398
808.011	4.33896
812.179	3.37906
832.84	1.56932
837.404	1.24189
840.72	0.658792
841.649	0.202217
842.45	0.335622
845.602	1.98955
847.585	4.16147
849.26	3.95727
892.183	5.02005
910.941	0.377789
912.564	0.222312
927.957	0.512723
930.846	0.387843
943.714	0.105918
944.157	0.146556
947.347	0.02194
952.153	0.187432
953.515	0.228255
955.131	0.297936
956.457	0.318426
957.756	0.00757687
 957.9	0.186694
966.531	0.176482
970.331	0.108646
972.396	0.15636
981.399	0.852773
992.168	0.23541
995.073	5.60462
998.549	1.51772
1000.5	0.0291347
1013.19	0.327018
1016.79	0.766305
1023.92	0.103638
1025.27	0.409638
1027.21	1.46584
1028.42	1.37559
1031.24	0.0880498
1033.42	0.253542
1034.79	2.26614
1039.27	0.598032
1046.55	0.248548
1047.71	0.454902
1054.34	0.692631
1055.53	0.316977
1058.07	0.0693382
1069.22	0.609299
1071.27	6.68525
1083.23	3.58793
1087.8	1.44028
1088.65	1.0992
1105.73	1.3425
1109.75	0.771773
1112.36	0.916208
1114.28	0.303892
1130.08	0.24947
1136.72	0.415028
1150.11	4.13192
1154.92	1.08656
1169.53	0.944104
1171.89	20.1526
1174.98	3.87352
1175.89	0.385656
1176.76	1.44283
1192.19	0.111321
1197.24	1.84207
1197.63	0.627246
1198.79	2.08332
1201.95	5.88102
1202.87	5.14381
1208.37	2.61108
1211.2	0.0734363
1218.35	0.0197526
1219.85	0.0542899
1233.05	0.0930044
1234.11	0.158442
1236.52	0.082858
1236.95	0.19634
1237.5	0.400151
1240.14	0.390136
1241.29	0.195338
1241.66	0.13894
1278.64	0.759334
1290.99	0.602855
1301.86	0.0878126
1302.78	0.334647
1318.34	0.633545
1328.66	1.7113
1334.98	0.683117
1347.66	0.607731
1355.81	0.306329
1356.88	0.623649
1361.68	0.0300044
1365.12	0.232142
1370.98	0.12094
1372.01	0.101174
1373.32	0.382401
1374.82	0.256164
1375.01	1.16837
1379.29	0.500679
1381.29	4.22535
1385.67	0.618009
1390.29	2.08366
1392.62	1.91912
1392.93	3.66561
1393.5	0.493656
1398.95	3.58091
1405.06	0.800368
1406.07	2.53046
1409.04	0.564786
1411.47	2.31344
1413.37	1.89701
1413.95	1.82721
1414.96	0.112889
1419.88	1.46655
1420.51	1.8102
1423.14	1.37977
1427.62	0.945514
1442.99	0.13836
1444.59	0.747079
1446.17	0.13413
1447.59	0.299741
1453.18	0.41794
1454.81	1.15678
1456.4	0.638895
1457.24	0.433067
1457.57	0.125605
1458.04	0.386657
1459.31	0.111452
1460.69	0.95433
1463.11	3.4557
1463.85	0.0626047
1465.56	4.42571
1466.49	4.23925
1469.63	0.252158
1471.07	0.118015
1471.4	1.15935
1472.8	0.0306105
1473.53	0.033246
1474.97	0.191464
1475.66	0.38331
1477.92	1.06761
1479.16	0.466274
1479.72	0.680851
1480.63	1.75952
1481.51	1.22296
1482.21	1.57063
1485.52	1.70124
1491.59	0.0846501
1491.84	0.159575
1492.68	0.123892
1496.7	0.937252
1498.67	5.89229
1501.73	0.268722
1516.2	1.60113
1518.28	3.00563
1518.72	3.26309
1519.82	4.72059
1643.47	2.73172
1649.1	3.17086
1679.12	0.723466
1679.33	1.36355
1991.61	   100
2003.99	96.8119
2996.4	12.076
3001.64	7.90058
3006.95	28.5394
3007.67	2.1311
3010.37	6.45511
3028.52	8.08507
3037.22	1.90359
3040.67	8.40955
3041.5	3.99288
3046.28	4.55727
3047.31	0.681431
3049.12	4.76613
3054.16	4.61902
3054.6	6.54947
3054.76	11.458
3055.87	3.37588
3056.59	13.2034
3057.06	2.15112
3065.75	4.01726
3073.31	2.23266
3078.85	0.571032
3079.53	0.412537
3089.56	6.55644
3095.87	1.73846
  3098	0.990395
3102.13	1.56209
3103.15	3.76369
3104.07	5.45345
3108.06	1.44982
3119.84	0.680021
3120.42	0.386262
3123.71	1.7817
3124.26	4.12042
3124.96	4.65819
3125.48	4.11358
3128.48	6.08068
3129.17	4.21992
3130.66	0.98801
3132.79	2.15215
3133.96	6.00799
3134.4	0.765593
3136.09	3.09496
3136.71	0.469608
3139.03	2.69725
3143.56	0.714387
3147.86	1.65126
3149.54	1.34178
3150.49	1.32728
3153.59	1.66976
3157.25	0.0771259
3157.68	2.6244
3162.75	0.425517
3163.17	4.43778
3166.43	0.898551
3167.35	0.574537
3168.38	1.0547
3172.72	1.85978
3175.71	1.02056
3182.41	1.69769
3189.62	1.19784
3195.54	1.31289
3199.6	1.34755
3209.84	0.257284
3214.88	0.169392
3214.98	0.0857701
3219.48	0.161236
3229.76	0.598507
3230.53	0.571269
3238.67	0.91045
3238.84	0.905864
3430.43	64.1854
3591.84	55.8029
3634.75	89.572
3735.24	27.6726
